curva,sentido,Z,kappa,omega2,l1
1,1,39.54283615602484,0.3304688724446492,NaN,0.012535399566631661
1,1,39.61353816241103,0.3298649994407199,NaN,0.012617362983109878
1,1,39.68424021544548,0.32926350759741985,NaN,0.012699183197067143
1,1,39.754942314785346,0.32866438271615633,NaN,0.012780860713011807
1,1,39.825644460091,0.3280676107114148,NaN,0.012862396032653017
1,1,39.89634665102598,0.3274731776096292,NaN,0.012943789654922586
1,1,39.96704888725694,0.32688106954807145,NaN,0.013025042075996474
1,1,40.037751168453624,0.32629127277374953,NaN,0.013106153789312569
1,1,40.10845349428885,0.32570377364232594,NaN,0.013187125285596804
1,1,40.17915586443845,0.3251185586170389,NaN,0.013267957052878532
1,1,40.24985827858123,0.3245356142676454,NaN,0.013348649576515104
1,1,40.32056073639897,0.3239549272693716,NaN,0.013429203339210605
1,1,40.39126323757636,0.3233764844018789,NaN,0.013509618821032729
1,1,40.461965781801,0.3228002725482374,NaN,0.01358989649943837
1,1,40.53266836876332,0.3222262786939167,NaN,0.013670036849290801
1,1,40.60337099815659,0.321654489925787,NaN,0.013750040342876899
1,1,40.67407366967688,0.321084893431128,NaN,0.013829907449929665
1,1,40.744776383023,0.32051747649665646,NaN,0.01390963863764498
1,1,40.815479137896524,0.31995222650755906,NaN,0.013989234370702805
1,1,40.88618193400171,0.319389130946538,NaN,0.014068695111284404
1,1,40.956884771045495,0.31882817739286995,NaN,0.0141480213190905
1,1,41.02758764873746,0.31826935352147573,NaN,0.01422721345135998
1,1,41.09829056678979,0.31771264710199487,NaN,0.01430627196288893
1,1,41.168993524917276,0.31715804599788056,NaN,0.014385197306049147
1,1,41.23969652283725,0.3166055381654965,NaN,0.014463989930803639
1,1,41.31039956026958,0.3160551116532264,NaN,0.014542650284726857
1,1,41.381102636936646,0.3155067546006012,NaN,0.014621178813017568
1,1,41.45180575256329,0.3149604552374218,NaN,0.01469957595852589
1,1,41.52250890687681,0.31441620188290703,NaN,0.014777842161758176
1,1,41.59321209960692,0.31387398294483804,NaN,0.014855977860904326
1,1,41.66391533048574,0.31333378691872393,NaN,0.014933983491847214
1,1,41.73461859924776,0.3127956023869679,NaN,0.015011859488185259
1,1,41.8053219056298,0.3122594180180501,NaN,0.01508960628124524
1,1,41.87602524937102,0.31172522256571156,NaN,0.015167224300099785
1,1,41.94672863021286,0.31119300486815593,NaN,0.015244713971584278
1,1,42.01743204789904,0.3106627538472556,NaN,0.015322075720312106
